"","logFC","logCPM","LR","PValue","FDR"
"ANTXR2",-1.02182126276309,5.085238556341,79.9308071402947,3.87753421938239e-19,5.1452853248395e-18
"ANXA10",-1.65985851300133,4.43165175088675,49.0550134240016,2.48883290690456e-12,1.40800445460169e-11
"ANXA13",1.37410024421756,5.00073622354516,13.513100668833,0.000236903782752336,0.000461719986928591
"ANXA2P2",1.26174247713529,6.45778131090573,54.9521490929803,1.23500268796784e-13,8.30428885913166e-13
"ANXA2",1.68299642334893,8.5718060621949,76.2001971576284,2.56316138114517e-18,3.07685632793023e-17
"AP1M2",3.08244367684219,3.39169514692933,29.7863233749684,4.82382991059803e-08,1.55568245969543e-07
"AP3M2",1.09067679833608,2.92066340989283,83.9430038637757,5.09246630100922e-20,7.54591961511878e-19
"APCDD1",1.67744568116228,3.43392364712682,14.7416691740112,0.000123291084997309,0.000249948891962757
"APLN",3.95245257032396,2.48934979098695,161.753456125904,4.6832995110219e-37,2.9350704338123e-35
"APLP1",3.77640733151081,1.94226555781471,59.963959227071,9.66103617679052e-15,7.51142968482258e-14
"APOA2",1.12292630693338,13.2917757627804,21.6552821195241,3.26310198291001e-06,8.24719403047979e-06
"APOA4",2.61613103106898,8.43481112958102,16.1903347916733,5.72856528620698e-05,0.000121941537492161
"APOA5",-1.28054197290172,7.86950876667128,33.2112472600083,8.26709732676545e-09,2.99132136964717e-08
"APOBEC3B",2.2040087900488,2.25946834412133,48.5579430162434,3.20672885889127e-12,1.79104219483676e-11
"APOD",1.32053508725012,1.1571299859637,19.9909969098969,7.78076485299248e-06,1.8680287359332e-05
"APOF",-2.51939022023102,6.79307328069174,113.003389150334,2.15406342062003e-26,6.46978758097845e-25
"AQP10",5.34482900962146,-0.730082961442146,22.5279685582766,2.07106151658916e-06,5.36172345773628e-06
"AQP1",1.55189980332309,7.37939457833185,17.176861795853,3.40559264809396e-05,7.48826925371449e-05
"AQP3",-1.42581492102151,5.63290141651518,89.3530519746955,3.30282264626354e-21,5.59239338595992e-20
"AQP6",2.94208997779176,1.10484208886882,15.599659540873,7.82686802174058e-05,0.000163718492054238
"AQP7",-1.49639525057419,2.59072477759711,89.8591981429934,2.55726891507469e-21,4.37090697562412e-20
"AQP8",3.78718697865114,1.79421689827075,32.0821217249332,1.4779113115947e-08,5.16306034217098e-08
"ARHGAP10",-1.34940877229458,2.81525322683011,65.1082480466588,7.08947176294093e-16,6.33936273700407e-15
"ARHGAP11A",2.92906288820486,3.04772694536736,193.611465932048,5.17683126387143e-44,5.67765047023232e-42
"ARHGAP20",-1.32612731886273,0.347213276375685,38.8539213167338,4.56735505349672e-10,1.94532506941665e-09
"ARHGAP22",1.56055579482257,0.300929170375594,71.6892207155475,2.51904915082602e-17,2.67952054052228e-16
"ARHGAP28",1.80879128772799,0.615129936752497,36.3050187815444,1.68728802918555e-09,6.67948285439411e-09
"ARHGAP33",1.61578287984749,2.21600473954422,99.4905041705167,1.97106155310794e-23,4.31043173781625e-22
"ARHGAP36",6.7767836494751,0.597390806006147,8.04251495904589,0.00456920561435975,0.00738840496806502
"ARHGAP39",1.49994882818753,1.88632686094337,79.9715572985904,3.79838329433403e-19,5.0495128514301e-18
"ARHGEF11",1.15085577725773,5.37788229030798,93.5773637863029,3.90629631405414e-22,7.49025850841877e-21
"ARHGEF2",1.02591137545785,4.31661208883771,38.6284472032212,5.12662480285009e-10,2.17393518660986e-09
"ARHGEF37",1.4708342803376,2.87832122536595,39.8028520236354,2.80934574652927e-10,1.23394715935996e-09
"ARID3A",2.33115599751722,2.34526412275731,64.0284129481177,1.22637720486823e-15,1.06824685889756e-14
"ARID3C",-1.67885461427102,0.150819171465998,46.1623988346682,1.08846004049817e-11,5.70102605148045e-11
"ARL16",1.10595845110578,4.048208517974,82.7476857373971,9.32248969572414e-20,1.32575327431236e-18
"ARL5B",-1.04244622896728,3.91695948659525,86.7419527768623,1.23645896796926e-20,1.96059326169671e-19
"ARMC2",1.14224370122217,-0.354592886965234,62.3223456229181,2.91597551431333e-15,2.43171529497201e-14
"ARMC9",1.56723494055503,0.84949218297724,60.993732880491,5.72567885451023e-15,4.58465999871375e-14
"ARNT2",1.21706161960965,1.95962014365224,11.2459259362448,0.000797979750110697,0.00144365316165351
"ARPC5",1.04770973480407,7.46403753590427,115.502138369529,6.10931377183063e-27,1.93957314637702e-25
"AR",-1.31056082299747,3.46794070278091,25.5746984557555,4.25583424052951e-07,1.21163642674819e-06
"ASAP2",1.09900170242224,3.66968339551969,43.5537059039293,4.12482321431494e-11,2.01603867905595e-10
"ASB16",2.73893006743552,-0.741173338417885,97.4941323383081,5.40161019363392e-23,1.13332044598896e-21
"ASF1B",3.08220312893484,2.61128643765493,168.757668939291,1.38200520033477e-38,9.71227635206136e-37
"ASNS",2.00769088369394,3.38618955471508,45.3687413135129,1.63218669395942e-11,8.41194972176949e-11
"ASPA",-1.90008196398837,1.02957131839436,84.9962451406631,2.98932217658588e-20,4.53631207027608e-19
"ASPDH",-1.64823062468093,5.51532194491504,49.7013978161865,1.79018330581553e-12,1.03211802940229e-11
"ASPG",-2.3407237496637,4.96602186974757,56.9505778204272,4.46902970263281e-14,3.17770839906754e-13
"ASPHD1",2.71950645147032,2.24686775360073,38.5018520621783,5.47017496498568e-10,2.31216709395906e-09
"ASPH",1.41291712142293,8.08869334090338,49.6223832785975,1.86375188135013e-12,1.07154630604869e-11
"ASPM",4.25638603408449,4.5045568948758,239.221356365866,5.81414311758788e-54,2.05295975398341e-51
"ASRGL1",1.38848237509533,3.08968240982466,32.3702866737908,1.27419992683093e-08,4.49150044819366e-08
"ASS1",-1.27593004409861,9.66480557351,56.5706656843467,5.42146088821646e-14,3.80817512269334e-13
"ATAD2",1.9416049750509,5.65425471571847,114.626561091757,9.50049982448354e-27,2.96419689566914e-25
"ATAD3C",-1.29871424153637,1.38702058200618,27.9703116367895,1.23191038509604e-07,3.76649770750482e-07
"ATAD5",2.22426058434506,1.11652072997537,129.789558808105,4.5560824001579e-30,1.85276418278331e-28
