V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
55553,64105,6662,1284,1756,1741,1848,2027,23516,158219,150696,0.995,0,0,0,0,0,0.000433186940774068
55558,1958,4609,7020,10061,10067,10092,10038,10036,10056,10055,10057,10048,0.99,0,0,0,0.000464534689558859
55568,1879,10038,10171,100289635,10128,10313,10114,10169,10512,10099,10521,0.9936,0,0,0,0,0.000375835032605075
5557,1958,1012,10249,10092,10243,10062,0.9959,0,0,0,0,0,0,0,0,0,0.000245538053237455
5558,1869,4609,7020,10052,10092,10061,10057,10085,10059,10067,100132464,10051,0.997,0,0,0,0.000419525954751083
55586,21,340273,89845,4363,10257,7391,7025,1869,5087,1523,0.9929,0,0,0,0,0,0.000318541936813452
55600,21,10257,10057,116236,30,5452,6257,7391,5460,0.993,0,0,0,0,0,0,0.00027961660404846
55607,60468,1050,2354,8061,2353,1012,10164,10134,10112,10309,10216,10163,10113,10062,0.9946,0,0.000478256961007234
55612,53335,1879,5993,10038,10128,100289635,10384,10171,10475,10313,10099,10312,10227,0.9931,0,0,0.000381743857168763
5563,1959,1960,5346,8877,10894,10535,10540,11060,1031,10262,11004,11273,0.9899,0,0,0,0.000450891678779492
55630,9625,18,89845,10057,116236,5452,2625,5460,1958,3172,7025,0.9937,0,0,0,0,0.000363364144503437
55635,21,10351,4363,10257,30,6257,4149,7157,0.9885,0,0,0,0,0,0,0,0.000321452507405732
55655,4609,10067,10061,10055,10197,10221,100132464,10036,0.9894,0,0,0,0,0,0,0,0.000340967259431678
55656,21,10257,10057,116236,176,5452,4609,1488,5460,6775,7391,1869,2625,5885,10664,0.9927,0.00051641307702577
55657,4609,10061,10055,10067,10197,10062,0.9924,0,0,0,0,0,0,0,0,0,0.000254307618497386
55664,89845,84320,11093,134637,130,7025,6935,0.9963,0,0,0,0,0,0,0,0,0.000284952015701515
55689,1958,1012,1020,10123,10016,0.9965,0,0,0,0,0,0,0,0,0,0,0.000236302988101729
5569,2353,5460,10332,10164,10486,10112,0.9944,0,0,0,0,0,0,0,0,0,0.000205040404060494
55721,1958,4609,1012,10061,10067,10092,0.9958,0,0,0,0,0,0,0,0,0,0.000295571855937924
55722,1958,4609,1012,10061,10067,10092,10055,10062,100132464,10013,10056,0.9959,0,0,0,0,0.00039287357371265
